keyword,weight,category,description
입금,0.5,action,직접적인 금전 요구
송금,0.5,action,직접적인 금전 요구
계좌번호,0.5,info,금융 정보 요구
가상계좌,0.5,info,추적이 어려운 결제 수단
위탁계좌,0.5,info,대리 입금 유도
증거금,0.4,action,선입금 요구용 명목
예치금,0.4,action,투자금 선입금 유도
청약금,0.4,action,허위 상장 투자 유도
수익보장,0.4,lure,전형적인 사기 문구
원금보장,0.4,lure,전형적인 사기 문구
폭등확정,0.4,lure,비정상적인 수익 확언
상장예정,0.4,lure,미공개 정보 사칭
비공개 정보,0.4,lure,신뢰 형성용 허위 정보
대기업 합작,0.4,lure,권위 있는 기관 사칭
손실 복구,0.3,lure,피해자 심리 이용
무료 나눔,0.3,lure,초기 접근용 미끼
리딩방,0.3,platform,사기 유도 플랫폼
VIP방,0.3,platform,폐쇄형 채팅방 유도
가족방,0.3,platform,유대감 형성형 사칭
비밀방,0.3,platform,폐쇄성 강조
텔레그램,0.2,platform,익명 메신저 이용
고정 댓글,0.2,platform,링크 클릭 유도
링크 클릭,0.4,action,피싱 사이트 연결
프로필 링크,0.4,action,개인 상담 유도
상담 신청,0.3,action,개인정보 수집 유도
선착순 10명,0.3,urgency,판단력 흐리는 긴급성 조작
마지막 기회,0.3,urgency,심리적 압박
오늘 마감,0.3,urgency,시간 제한 압박
상한가 확정,0.4,lure,주식 리딩 사기 단골 멘트
작전주,0.3,lure,불법 주식 정보 사칭
세력주,0.3,lure,불법 주식 정보 사칭
작업 대출,0.5,action,불법 대출 사기 용어
소액 대출,0.3,action,불법 대출 유도